accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.7186462879180908,0.8382315039634705,0.5058199167251587,0.26764339208602905,0.8092922568321228,0.8383957743644714,0.9119052886962891,0.34277987480163574,0.40667492151260376,0.8287153840065002,0.0005000000237487257
0.7918286323547363,0.8933483958244324,0.4080412983894348,0.3440000116825104,0.8595353960990906,0.8311707377433777,0.9183930158615112,0.3258711099624634,0.3975481688976288,0.8576826453208923,0.0005000000237487257
0.7978323101997375,0.9039167165756226,0.3856288194656372,0.3537326455116272,0.8806051015853882,0.8320554494857788,0.9218283295631409,0.3235064446926117,0.40011581778526306,0.8702771067619324,0.0005000000237487257
0.8057636022567749,0.9118791818618774,0.3652067482471466,0.3651406466960907,0.8941112756729126,0.8326452374458313,0.9242342710494995,0.31703421473503113,0.40150201320648193,0.8753148317337036,0.0005000000237487257
0.8067115545272827,0.9140325784683228,0.3618455231189728,0.3668834865093231,0.8989735245704651,0.8379533886909485,0.9248839616775513,0.3090879023075104,0.40938800573349,0.8677582144737244,0.0005000000237487257
0.8090182542800903,0.915486752986908,0.3587391674518585,0.3697151839733124,0.8976228833198547,0.8330875635147095,0.9250184893608093,0.32019633054733276,0.4029850661754608,0.8841309547424316,0.0005000000237487257
0.8107561469078064,0.918485164642334,0.34907129406929016,0.3729303181171417,0.9065369963645935,0.8389855623245239,0.9266815781593323,0.31228697299957275,0.41193854808807373,0.8778337240219116,0.0005000000237487257
0.8163490891456604,0.9217661619186401,0.33936363458633423,0.3809255063533783,0.9116693735122681,0.8344146013259888,0.9274172782897949,0.3218351900577545,0.40626779198646545,0.8979848623275757,0.0002500000118743628
0.8196985721588135,0.9232562780380249,0.3358537256717682,0.385824978351593,0.9146407246589661,0.836184024810791,0.9279971122741699,0.31666991114616394,0.408855676651001,0.8954659700393677,0.0002500000118743628
0.8191297650337219,0.9248086810112,0.3335467576980591,0.3852179944515228,0.9165316224098206,0.835004448890686,0.9282040596008301,0.32144391536712646,0.40719589591026306,0.8979848623275757,0.0001250000059371814
